Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Bsmt Bath,Bath AbvGr,Total SF,Overall Qu Co Avg,Age Sold,Remodel Age,Second Story
748,903400220,75,RL,0,11888,Pave,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,844,844,GasA,Gd,N,FuseA,1445,689,0,2134,5,1,Gd,12.0,Typ,0,NA,Detchd,1930,Unf,2.0,441.0,TA,TA,Y,0,60,268,0,0,0,NA,NA,NA,0,7,2009,WD ,214500,0.0,2.0,2978,6.0,93,15,0
2846,909131125,190,RH,0,7082,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,1916,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,Mn,Unf,0,Unf,0,686,686,GasA,Gd,Y,SBrkr,948,980,0,1928,5,2,TA,12.0,Typ,0,NA,NA,2006,NA,0.0,0.0,NA,NA,N,0,0,228,0,0,0,NA,NA,NA,0,7,2006,WD ,160000,0.0,2.0,2614,6.5,90,11,0
493,528292070,60,RL,0,8755,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,Gilbert,RRNn,Norm,1Fam,2Story,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,298,Gd,TA,PConc,Gd,TA,No,ALQ,772,Unf,0,220,992,GasA,Ex,Y,SBrkr,1022,1038,0,2060,3,1,Gd,10.5,Typ,1,TA,BuiltIn,1999,RFn,2.0,390.0,TA,TA,Y,0,0,0,168,0,0,NA,GdPrv,NA,0,6,2009,WD ,214000,1.0,2.5,3052,6.0,10,10,0
694,902103100,50,RM,68,4080,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,1935,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,901,901,GasA,Gd,Y,SBrkr,861,517,0,1378,3,1,Gd,7.0,Typ,0,NA,Detchd,1920,Unf,1.0,162.0,Fa,Fa,P,54,0,40,0,0,0,NA,NA,NA,0,6,2009,WD ,128900,0.0,1.0,2279,7.0,74,11,0
2283,923205025,190,RL,0,32463,Pave,NA,Reg,Low,AllPub,Inside,Mod,Mitchel,Norm,Norm,2fmCon,1Story,1961,1975,Gable,CompShg,MetalSd,MetalSd,Stone,149,TA,Gd,CBlock,TA,TA,Av,BLQ,1159,Unf,0,90,1249,GasA,Ex,Y,SBrkr,1622,0,0,1622,3,1,TA,8.0,Typ,1,TA,2Types,1975,Fin,4.0,1356.0,TA,TA,Y,439,0,0,0,0,0,NA,NA,NA,0,3,2007,WD ,168000,1.0,1.0,2871,4.0,46,32,1
1800,528458150,60,FV,112,12217,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,2007,2007,Hip,CompShg,WdShing,Wd Shng,None,0,Gd,TA,PConc,Ex,TA,Av,GLQ,745,Unf,0,210,955,GasA,Ex,Y,SBrkr,955,925,0,1880,3,1,Ex,10.5,Typ,1,Gd,Attchd,2007,Fin,3.0,880.0,TA,TA,Y,168,127,0,0,0,0,NA,NA,NA,0,12,2007,New,310013,1.0,2.5,2835,6.5,0,0,0
1632,527182040,120,RL,0,3696,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,1986,1986,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,1074,1074,GasA,Ex,Y,SBrkr,1088,0,0,1088,2,1,Gd,6.5,Typ,0,NA,Attchd,1987,RFn,2.0,461.0,TA,TA,Y,0,74,137,0,0,0,NA,NA,NA,0,10,2007,WD ,170000,0.0,1.5,2162,6.5,21,21,1
2624,535453160,20,RL,70,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,LwQ,369,Unf,0,671,1040,GasA,TA,Y,FuseA,1040,0,0,1040,3,1,TA,7.0,Typ,0,NA,Attchd,1959,RFn,1.0,286.0,TA,TA,Y,140,0,252,0,0,0,NA,GdWo,NA,0,7,2006,WD ,133700,0.0,1.0,2080,5.0,47,47,1
2197,909250150,70,RL,55,10592,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,1923,1996,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Gd,PConc,TA,Fa,No,Unf,0,Unf,0,602,602,GasA,TA,Y,SBrkr,900,602,0,1502,3,1,Gd,8.5,Typ,2,TA,Detchd,1923,Unf,1.0,180.0,TA,TA,Y,96,0,112,0,53,0,NA,NA,NA,0,8,2007,WD ,165000,0.0,1.5,2104,6.5,84,11,0
1045,527451400,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,604,TA,TA,CBlock,TA,TA,No,ALQ,358,Unf,0,125,483,GasA,TA,Y,SBrkr,483,504,0,987,2,1,TA,6.5,Typ,0,NA,Detchd,1971,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2008,WD ,89500,0.0,1.5,1470,4.5,37,37,0
2549,534427090,190,RL,75,10382,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,2fmCon,SLvl,1958,1958,Hip,CompShg,HdBoard,HdBoard,BrkFace,105,TA,Fa,CBlock,TA,TA,Gd,ALQ,513,Unf,0,75,588,GasA,TA,Y,SBrkr,1095,0,0,1095,2,1,TA,7.0,Typ,0,NA,Attchd,1958,RFn,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2006,ConLD,140000,1.0,1.0,1683,5.5,48,48,1
2829,908188110,160,RM,24,2522,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,970,970,GasA,Ex,Y,SBrkr,970,739,0,1709,3,1,Gd,9.0,Maj1,0,NA,Detchd,2004,Unf,2.0,380.0,TA,TA,Y,0,40,0,0,0,0,NA,NA,NA,0,5,2006,WD ,134000,0.0,2.0,2679,6.0,2,2,0
2480,531451290,60,RL,70,9370,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,1992,1993,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,No,ALQ,758,Unf,0,78,836,GasA,Ex,Y,SBrkr,844,887,0,1731,3,1,Gd,9.5,Typ,0,NA,Attchd,1992,RFn,2.0,462.0,TA,TA,Y,307,85,0,0,224,0,NA,NA,Othr,3000,10,2006,WD ,248500,1.0,2.5,2567,5.5,14,13,0
2724,905200490,80,RL,0,10246,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,1965,2001,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,Gd,Av,GLQ,648,Unf,0,0,648,GasA,Ex,Y,SBrkr,960,0,0,960,0,1,TA,3.0,Typ,0,NA,Attchd,1965,Unf,1.0,364.0,TA,TA,Y,88,0,0,0,0,0,NA,NA,NA,0,5,2006,WD ,145000,1.5,0.0,1608,6.5,41,5,1
2352,527356060,60,RL,85,11475,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,1975,1975,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,550,Unf,0,163,713,GasA,TA,Y,SBrkr,811,741,0,1552,3,1,TA,8.5,Typ,1,TA,Attchd,1975,RFn,2.0,434.0,TA,TA,Y,209,208,0,0,0,0,NA,MnPrv,NA,0,2,2006,WD ,179900,1.0,2.5,2265,6.0,31,31,0
1783,528431110,20,RL,75,9986,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,2006,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,428,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1795,1795,GasA,Ex,Y,SBrkr,1795,0,0,1795,2,1,Gd,9.0,Typ,1,Gd,Attchd,2007,RFn,3.0,895.0,TA,TA,Y,0,49,0,0,0,0,NA,NA,NA,0,2,2007,New,147000,0.0,2.0,3590,6.5,1,0,1
338,923426070,60,RL,63,10475,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,Rec,458,Unf,0,166,624,GasA,Gd,Y,SBrkr,624,650,0,1274,3,1,TA,7.5,Typ,0,NA,Detchd,1993,Unf,2.0,576.0,TA,TA,Y,22,0,0,0,0,0,NA,GdWo,NA,0,3,2010,WD ,136000,0.0,1.5,1898,5.0,19,19,0
196,903227020,50,RM,50,6000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,LwQ,264,Unf,0,308,572,GasA,Ex,Y,FuseA,848,348,0,1196,3,1,TA,7.5,Typ,2,Gd,Detchd,1973,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2010,WD ,128000,0.5,1.5,1768,6.0,70,60,0
762,904100190,20,RL,50,4280,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1946,2001,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,Fa,TA,No,Unf,0,Unf,0,560,560,GasA,Ex,Y,FuseA,704,0,0,704,2,1,Fa,5.0,Typ,0,NA,CarPort,1946,Unf,1.0,220.0,TA,TA,Y,0,0,24,0,0,0,NA,NA,NA,0,9,2009,WD ,88750,0.5,1.0,1264,6.5,63,8,1
151,535302200,20,RL,119,10895,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,Rec,648,Unf,0,324,972,GasA,TA,Y,SBrkr,972,0,0,972,3,1,TA,6.0,Typ,0,NA,Attchd,1955,Unf,1.0,305.0,TA,TA,Y,0,0,205,0,0,0,NA,GdWo,NA,0,6,2010,WD ,122500,0.0,1.0,1944,5.5,55,55,1
158,535353190,50,RL,78,17503,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,912,912,GasA,TA,Y,SBrkr,912,546,0,1458,3,1,TA,7.0,Typ,1,Gd,Attchd,1948,Unf,1.0,330.0,TA,TA,Y,192,0,0,0,0,0,NA,NA,NA,0,1,2010,WD ,97500,0.5,1.0,2370,5.5,62,60,0
2572,535151080,20,RL,109,9723,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,1963,1963,Hip,CompShg,MetalSd,MetalSd,BrkFace,332,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1008,1008,GasA,TA,Y,SBrkr,1008,0,0,1008,2,1,TA,6.0,Typ,0,NA,Attchd,1963,RFn,2.0,430.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,10,2006,WD ,135000,0.0,1.0,2016,6.5,43,43,1
1686,528102090,20,RL,90,11694,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,2007,2007,Hip,CompShg,CemntBd,CmentBd,BrkFace,452,Ex,TA,PConc,Ex,TA,Av,GLQ,48,Unf,0,1774,1822,GasA,Ex,Y,SBrkr,1828,0,0,1828,3,1,Gd,11.0,Typ,1,Gd,Attchd,2007,Unf,3.0,774.0,TA,TA,Y,0,108,0,0,260,0,NA,NA,NA,0,7,2007,New,314813,0.0,2.0,3650,7.0,0,0,1
943,911103050,50,C (all),105,8470,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,1915,1982,Hip,CompShg,Plywood,Plywood,None,0,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,1013,1013,GasA,TA,N,SBrkr,1013,0,513,1526,2,1,Fa,7.0,Typ,0,NA,NA,2009,NA,0.0,0.0,NA,NA,N,0,0,156,0,0,0,NA,MnPrv,NA,0,10,2009,ConLD,85000,0.0,1.0,2539,2.5,94,27,1
735,903226170,50,RM,50,6000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,1937,2000,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,698,698,GasA,TA,Y,SBrkr,786,390,0,1176,2,1,TA,5.0,Typ,0,NA,Detchd,1999,Unf,2.0,624.0,TA,TA,N,210,0,0,0,0,0,NA,NA,NA,0,7,2009,WD ,134900,0.0,1.0,1874,7.5,72,9,0
2741,905451410,20,RL,70,10519,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,1955,1999,Hip,CompShg,MetalSd,MetalSd,Stone,164,TA,TA,CBlock,TA,TA,Mn,Unf,0,Unf,0,1057,1057,GasA,Gd,Y,SBrkr,1057,0,0,1057,3,1,Gd,7.0,Typ,0,NA,Attchd,1955,Unf,1.0,288.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2006,WD ,137000,0.5,1.0,2114,6.5,51,7,1
1106,528363110,20,RL,91,10437,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,1995,1995,Hip,CompShg,MetalSd,MetalSd,BrkFace,660,Gd,Gd,PConc,Gd,TA,Gd,GLQ,1696,Unf,0,413,2109,GasA,Ex,Y,SBrkr,2113,0,0,2113,2,1,Gd,9.5,Typ,1,TA,Attchd,1995,Fin,3.0,839.0,TA,TA,Y,236,46,0,0,0,0,NA,NA,NA,0,8,2008,WD ,350000,1.0,2.5,4222,7.0,13,13,1
2375,527452290,20,RL,65,7514,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1967,1975,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Mn,ALQ,373,Rec,108,462,943,GasA,TA,Y,SBrkr,1387,0,0,1387,3,1,TA,7.0,Typ,1,TA,Attchd,1974,RFn,1.0,300.0,TA,TA,Y,0,0,240,0,0,0,NA,NA,NA,0,9,2006,WD ,145000,1.0,1.0,2330,6.0,39,31,1
1701,528118040,60,RL,118,13654,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2005,2006,Gable,CompShg,MetalSd,MetalSd,BrkFace,365,Gd,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1704,1704,GasA,Ex,Y,SBrkr,1722,1036,0,2758,4,1,Ex,11.5,Typ,1,Ex,BuiltIn,2005,Fin,3.0,814.0,TA,TA,Y,282,55,0,0,0,0,NA,NA,NA,0,5,2007,WD ,418000,0.0,2.5,4462,7.0,2,1,0
2657,902207110,30,RM,48,5747,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,798,798,GasA,Gd,Y,SBrkr,840,0,0,840,2,1,Fa,6.0,Typ,0,NA,Detchd,1938,Unf,1.0,250.0,TA,Fa,N,112,0,0,0,0,0,NA,NA,NA,0,6,2006,WD ,64000,0.0,1.0,1638,3.5,86,56,1
907,909129100,50,RH,55,4500,Pave,Pave,IR2,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,1932,2000,Gable,CompShg,VinylSd,Stucco,None,0,TA,TA,BrkTil,TA,TA,No,Rec,182,Unf,0,611,793,GasA,Ex,Y,SBrkr,848,672,0,1520,3,1,TA,7.0,Typ,0,NA,Detchd,1968,Unf,1.0,281.0,TA,TA,Y,0,0,56,0,0,0,NA,NA,NA,0,7,2009,WD ,159434,0.0,1.0,2313,5.0,77,9,0
1777,528427100,20,RL,91,11830,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,164,Gd,TA,PConc,Gd,TA,No,GLQ,1220,Unf,0,322,1542,GasA,Ex,Y,SBrkr,1542,0,0,1542,3,1,Gd,8.0,Typ,1,Gd,Attchd,2007,Unf,3.0,852.0,TA,TA,Y,168,110,0,0,0,0,NA,NA,NA,0,7,2007,New,260261,1.0,2.0,3084,6.5,0,0,1
164,535454070,50,RL,71,8520,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,1952,1952,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,Fa,CBlock,TA,TA,No,Rec,507,Unf,0,403,910,GasA,Fa,Y,SBrkr,910,475,0,1385,4,1,TA,8.0,Typ,0,NA,Detchd,2000,Unf,2.0,720.0,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,6,2010,WD ,166000,0.0,2.0,2295,4.5,58,58,0
1973,535478040,85,RL,66,6760,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,Av,ALQ,734,Unf,0,162,896,GasA,TA,Y,SBrkr,936,0,0,936,3,1,TA,7.0,Typ,1,Po,Attchd,1962,RFn,1.0,288.0,TA,TA,Y,24,90,160,0,0,0,NA,NA,NA,0,10,2007,WD ,130000,1.0,1.0,1832,5.0,45,45,1
2857,909256020,50,RL,51,6191,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,Fa,Fa,No,LwQ,384,Unf,0,440,824,GasA,TA,N,SBrkr,824,464,0,1288,4,1,TA,7.0,Typ,0,NA,Detchd,1941,Unf,1.0,240.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2006,WD ,112000,0.0,1.0,2112,4.5,65,56,0
1208,534400030,20,RL,80,8700,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1963,1963,Hip,CompShg,MetalSd,MetalSd,BrkFace,148,TA,Gd,CBlock,TA,TA,Mn,ALQ,776,Unf,0,344,1120,GasA,Gd,Y,SBrkr,1128,0,0,1128,3,1,TA,8.0,Typ,0,NA,Attchd,1963,RFn,2.0,525.0,TA,TA,Y,192,20,123,0,0,0,NA,MnPrv,NA,0,12,2008,WD ,155000,1.0,2.0,2248,5.5,45,45,1
319,916386090,60,RL,92,12003,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,2009,2010,Gable,CompShg,VinylSd,VinylSd,BrkFace,84,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,774,774,GasA,Ex,Y,SBrkr,774,1194,0,1968,4,1,Ex,10.5,Typ,1,Gd,BuiltIn,2009,Fin,3.0,680.0,TA,TA,Y,0,75,0,0,0,0,NA,NA,NA,0,5,2010,New,269500,0.0,2.5,2742,6.5,1,0,0
2567,535103070,80,RL,0,12700,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,1964,1964,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,ALQ,939,Unf,0,307,1246,GasA,TA,Y,SBrkr,1246,0,0,1246,3,1,TA,7.0,Typ,2,Gd,Attchd,1964,RFn,2.0,441.0,TA,TA,Y,0,69,0,0,0,0,NA,NA,NA,0,11,2006,WD ,172000,1.0,1.0,2492,5.5,42,42,1
2222,909425270,70,RL,75,13125,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,1940,1984,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,BLQ,410,Unf,0,390,800,GasA,TA,Y,SBrkr,960,780,0,1740,3,1,TA,7.5,Typ,2,Gd,Attchd,1940,Unf,1.0,240.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2007,CWD,219500,0.0,1.5,2540,6.5,67,23,0
2493,532376250,20,RL,0,8638,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,TA,TA,No,ALQ,181,Unf,0,744,925,GasA,Gd,Y,SBrkr,925,0,0,925,2,1,TA,6.0,Typ,0,NA,Detchd,1990,Unf,2.0,484.0,TA,TA,Y,203,74,0,0,0,0,NA,NA,NA,0,10,2006,WD ,133500,1.0,1.0,1850,5.5,43,43,1
1757,528280150,80,RL,76,9967,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,384,384,GasA,Ex,Y,SBrkr,774,656,0,1430,3,1,TA,10.5,Typ,1,TA,BuiltIn,2000,RFn,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,NA,NA,NA,0,12,2007,WD ,170000,0.0,2.5,1814,6.0,7,7,0
184,902305110,70,RM,60,9600,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,1900,2003,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Gd,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,930,930,GasW,TA,N,SBrkr,930,636,0,1566,3,1,Gd,9.0,Typ,0,NA,Detchd,1930,Unf,1.0,288.0,TA,TA,Y,54,228,246,0,0,0,NA,NA,NA,0,4,2010,WD ,150000,0.0,2.0,2496,8.5,110,7,0
1248,535302140,20,RL,0,12774,Pave,NA,Reg,Lvl,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,1Story,1953,1953,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,TA,TA,No,BLQ,624,LwQ,128,232,984,GasW,TA,N,SBrkr,950,0,0,950,2,1,TA,6.0,Typ,0,NA,Detchd,1953,Unf,2.0,400.0,TA,TA,Y,0,32,0,0,0,0,NA,GdWo,NA,0,7,2008,WD ,130000,0.0,1.0,1934,5.0,55,55,1
2574,535152070,80,RL,70,8163,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,1959,1959,Gable,CompShg,HdBoard,HdBoard,BrkFace,128,TA,Gd,CBlock,TA,TA,Av,ALQ,748,BLQ,294,102,1144,GasA,TA,Y,SBrkr,1144,0,0,1144,3,1,TA,7.0,Typ,1,TA,Attchd,1959,RFn,1.0,796.0,TA,TA,Y,86,0,0,0,0,0,NA,NA,NA,0,3,2006,WD ,143000,1.0,1.0,2288,5.5,47,47,1
1215,534403260,20,RL,90,9900,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,1961,1961,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,1114,1114,GasA,TA,Y,SBrkr,1114,0,0,1114,3,1,TA,6.0,Typ,0,NA,Attchd,1961,RFn,2.0,451.0,TA,TA,Y,0,0,0,0,164,0,NA,NA,NA,0,5,2008,COD,140000,1.0,1.0,2228,5.0,47,47,1
1614,526355170,20,RL,95,13651,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1973,1973,Gable,CompShg,Plywood,Plywood,BrkFace,1115,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,GasA,Ex,Y,SBrkr,2223,0,0,2223,3,1,TA,10.0,Typ,2,Gd,Attchd,1973,Fin,2.0,516.0,TA,TA,Y,300,0,0,0,0,0,NA,NA,NA,0,2,2007,WD ,244000,1.0,2.0,4446,6.5,34,34,1
2039,903458020,75,RM,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,0,530,530,GasA,TA,N,SBrkr,581,530,0,1111,3,1,Fa,7.0,Typ,0,NA,Detchd,1935,Unf,1.0,288.0,TA,TA,N,0,0,144,0,0,0,NA,NA,NA,0,3,2007,WD ,101000,0.0,1.0,1641,6.0,87,11,0
2669,902406030,20,RM,65,9750,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,1958,1958,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,960,960,GasA,Ex,Y,SBrkr,960,0,0,960,3,1,TA,6.0,Typ,0,NA,Detchd,2002,Unf,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,Gar2,4500,7,2006,WD ,125000,0.0,1.0,1920,5.0,48,48,1
1005,527162180,60,RL,73,11184,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,932,932,GasA,Gd,Y,SBrkr,932,701,0,1633,3,1,TA,9.5,Typ,1,TA,Attchd,1998,Fin,2.0,460.0,TA,TA,Y,0,39,0,0,0,0,NA,NA,NA,0,4,2008,WD ,183000,0.0,2.5,2565,5.5,10,10,0
